Identifiant;Nom du commerce;Numéro voie;Nom voie;Code postal;Nom commune;Longitude;Latitude;geo_shape;geo_point_2d
1808;BAR A IODE;0;AVENUE DE VERSAILLES;0;;2.277282;48.850421;"{""coordinates"": [2.27728199998617, 48.85042099917453], ""type"": ""Point""}";48.85042099917453, 2.27728199998617
1821;SAVONNERIE BABA;0;PLACE MARTHE SIMARD;0;;2.304803;48.826185;"{""coordinates"": [2.304802999488557, 48.82618499867235], ""type"": ""Point""}";48.82618499867235, 2.304802999488557
1822;ACERMA;22;QUAI DE LA LOIRE;0;;2.372675;48.884143;"{""coordinates"": [2.3726749995075935, 48.884142999038055], ""type"": ""Point""}";48.884142999038055, 2.3726749995075935
1840;COPPER BRANCH;0;RUE DE RENNES;0;;2.325482;48.845327;"{""coordinates"": [2.325481999567876, 48.84532699897453], ""type"": ""Point""}";48.84532699897453, 2.325481999567876
1862;BIOCOOP DES LILAS;14;RUE RAYMONDE SALEZ;0;;2.417319;48.879375;"{""coordinates"": [2.417318999685866, 48.879374999291], ""type"": ""Point""}";48.879374999291, 2.417318999685866
1013;LIBRAIRIE LA 25E HEURE;8;PLACE DU GENERAL BEURET;0;;2.302825;48.841783;"{""coordinates"": [2.302824999694255, 48.8417829989966], ""type"": ""Point""}";48.8417829989966, 2.302824999694255
1988;BIBLIOTHEQUE VAUGIRARD;154;RUE LECOURBE;0;;2.2993589;48.8417004;"{""coordinates"": [2.2993588994203487, 48.8417003988534], ""type"": ""Point""}";48.8417003988534, 2.2993588994203487
919;LES ARTIZANS;30;RUE MONTORGUEIL;0;;2.346513;48.863772;"{""coordinates"": [2.346512999800403, 48.863771999011604], ""type"": ""Point""}";48.863771999011604, 2.346512999800403
982;DUO DES CHAMPS;42;AVENUE FELIX FAURE;0;;2.288204;48.841339;"{""coordinates"": [2.288203999465952, 48.84133899862578], ""type"": ""Point""}";48.84133899862578, 2.288203999465952
1004;DECATHLON WAGRAM;26;AVENUE DE WAGRAM;0;;2.29728;48.87647;"{""coordinates"": [2.2972800002381115, 48.87646999874783], ""type"": ""Point""}";48.87646999874783, 2.2972800002381115
1020;LA TERRASSE;2;PLACE DE L ECOLE MILITAIRE;0;;2.305759;48.85474;"{""coordinates"": [2.305758999349807, 48.85473999939944], ""type"": ""Point""}";48.85473999939944, 2.305758999349807
1031;KAVIARI DELIKATESSEN;57;RUE CLER;0;;2.307037;48.855772;"{""coordinates"": [2.307037000489703, 48.85577199947351], ""type"": ""Point""}";48.85577199947351, 2.307037000489703
1043;HOTEL DE FRANCE INVALIDES;102;BOULEVARD DE LA TOUR-MAUBOURG;0;;2.30932;48.853482;"{""coordinates"": [2.309320000111528, 48.85348199887584], ""type"": ""Point""}";48.85348199887584, 2.309320000111528
