identifiant;id_dicom;nom;type;payant;adresse;arrondissement;statut_ouverture;horaires_periode;horaires_lundi;horaires_mardi;horaires_mercredi;horaires_jeudi;horaires_vendredi;horaires_samedi;horaires_dimanche;geo_shape;geo_point_2d;proposition_usager
LC3;19478;Eglise Notre-Dame de Grace de Passy;Lieux de culte;Non;10  RUE ANNONCIATION;75016;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.280421963129365, 48.85640360973924], ""type"": ""Point""}";48.85640360973924, 2.280421963129365;Non
LC7;19504;Eglise Saint-Ambroise;Lieux de culte;Non;71b BD VOLTAIRE;75011;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.376050042713945, 48.861308122308536], ""type"": ""Point""}";48.861308122308536, 2.376050042713945;Non
LC21;;Chapelle Expiatoire;Lieux de culte;Non;29  RUE PASQUIER;75008;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.323004365322333, 48.87371326714503], ""type"": ""Point""}";48.87371326714503, 2.323004365322333;Non
LC56;;Eglise Maronite de Notre-Dame du Liban;Lieux de culte;Non;17  RUE ULM;75005;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3453175429422064, 48.843967345916646], ""type"": ""Point""}";48.843967345916646, 2.3453175429422064;Non
LC87;19490;Eglise Saint-Jean Baptiste de Grenelle;Lieux de culte;Non;23  PL ETIENNE PERNET;75015;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.2926412219819277, 48.843261107714994], ""type"": ""Point""}";48.843261107714994, 2.2926412219819277;Non
LC110;;Cathedrale Americaine de la Sainte-Trinite;Lieux de culte;Non;23  AV GEORGE V;75008;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3006367103363994, 48.867511678461355], ""type"": ""Point""}";48.867511678461355, 2.3006367103363994;Non
LC116;19500;Eglise luthérienne de la Rédemption;Lieux de culte;Non;16  RUE CHAUCHAT;75009;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3400410153938176, 48.873735618943456], ""type"": ""Point""}";48.873735618943456, 2.3400410153938176;Non
MA12;(3857);MAIRIE DU 12E;Mairie d'arrondissement;Non;130 avenue DAUMESNIL;75012;;;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;"{""coordinates"": [2.3882401971303167, 48.8411116032719], ""type"": ""Point""}";48.8411116032719, 2.3882401971303167;Non
MA17;(3866);MAIRIE DU 17E;Mairie d'arrondissement;Non;16 RUE DES BATIGNOLLES;75017;;;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;"{""coordinates"": [2.32211346497642, 48.884319628822176], ""type"": ""Point""}";48.884319628822176, 2.32211346497642;Non
LC143;19445;Cathédrale Sainte-Croix de Paris des Arméniens;Lieux de culte;Non;13 RUE DU PERCHE;75003;;;Les horaires étant susceptibles d'évoluer, merci d;;;;;;;"{""coordinates"": [2.360771953887445, 48.861024288440674], ""type"": ""Point""}";48.861024288440674, 2.360771953887445;Non
LC148;19455;Eglise Saint-Denys de la Chapelle;Lieux de culte;;16 RUE DE LA CHAPELLE;75018;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3601869792902646, 48.89133981127941], ""type"": ""Point""}";48.89133981127941, 2.3601869792902646;Non
BR61;;Brumisateur Ferme St Lazare;Brumisateur;Non;6 SQUARE ALBAN SATRAGNE;75010;;Horaires d'ouverture du parc;;;;;;;;"{""coordinates"": [2.354188065050856, 48.876024140326265], ""type"": ""Point""}";48.876024140326265, 2.354188065050856;Non
OMP70;;ABRI SQUARE ERNEST GOUIN;Ombrière pérenne;Non;19 RUE EMILE LEVEL;75017;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.318320368457385, 48.894109028451396], ""type"": ""Point""}";48.894109028451396, 2.318320368457385;Non
OMP82;;ABRI SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT;Ombrière pérenne;Non;36 SQUARE DE CLIGNANCOURT;75018;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.346399203518176, 48.892919073844425], ""type"": ""Point""}";48.892919073844425, 2.346399203518176;Non
OMP87;;ABRI JARDIN D'EOLE;Ombrière pérenne;Non;18B RUE DU DEPARTEMENT;75018;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.366166280988934, 48.88755711219641], ""type"": ""Point""}";48.88755711219641, 2.366166280988934;Non
OMP98;;ABRI JARDIN CURIAL;Ombrière pérenne;Non;85 RUE CURIAL;75019;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.376552310291339, 48.89571680342979], ""type"": ""Point""}";48.89571680342979, 2.376552310291339;Non
OM09;;Ombrière Jules Joffrin;Ombrière temporaire;Non;1 place Jules Joffrin;75018;;Accès libre;;;;;;;;"{""coordinates"": [2.3447989137247403, 48.89254946832498], ""type"": ""Point""}";48.89254946832498, 2.3447989137247403;Non
BD1;18307;Bain-douche Audubon;Bains-douches;Non;11, rue Audubon;75012;;du 01/01/20 au 01/01/32;12h00 - 18h00;12h00 - 18h00;12h00 - 18h00;12h00 - 18h00;12h00 - 18h00;-;-;"{""coordinates"": [2.369391083586186, 48.84612149499664], ""type"": ""Point""}";48.84612149499664, 2.369391083586186;Non
OM16;;Ombrière Bercy 2;Ombrière temporaire;Non;PLACE DU BATAILLON DU PACIFIQUE;75012;;Accès libre;;;;;;;;"{""coordinates"": [2.379834884441069, 48.84014263563864], ""type"": ""Point""}";48.84014263563864, 2.379834884441069;Non
;3259;MAIRIE DU 20E;Mairie d'arrondissement;Non;6 place Gambetta;75020;;du 05/09/24 au 02/06/25;08h30 - 17h00;08h30 - 17h00;08h30 - 17h00;14h00 - 19h30;08h30 - 17h00;09h00 - 12h30;-;"{""coordinates"": [2.3989724343140773, 48.86512469607006], ""type"": ""Point""}";48.86512469607006, 2.3989724343140773;Non
PI18;5041;Piscine Catherine Lagatu;Piscine;Oui;155 avenue Parmentier;75010;;du 09/09/24 au 13/09/24;-;-;-;-;-;-;-;"{""coordinates"": [2.3692715230467187, 48.87170298307998], ""type"": ""Point""}";48.87170298307998, 2.3692715230467187;Non
PI34;2947;Piscine Rouvet;Piscine;Oui;1, rue Rouvet;75019;;du 20/01/24 au 28/02/25;-;-;-;-;-;-;-;"{""coordinates"": [2.384807396424123, 48.89308108743384], ""type"": ""Point""}";48.89308108743384, 2.384807396424123;Non
BR28;<Nul>;Brumisateur Square du Docteur Grancher;Brumisateur;Non;9 rue de la Bidassoa;75020;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.3941915180218487, 48.86540331312463], ""type"": ""Point""}";48.86540331312463, 2.3941915180218487;Non
LC96;19484;Eglise Saint-Julien Le Pauvre;Lieux de culte;Non;1  RUE SAINT-JULIEN LE PAUVRE;75005;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3470575838867553, 48.8520087350826], ""type"": ""Point""}";48.8520087350826, 2.3470575838867553;Non
MU71;;Musée national Eugène Delacroix;Musée;Oui;6 rue de Furstenberg;75006;;;;;;;;;;"{""coordinates"": [2.3355044198862585, 48.854606471061174], ""type"": ""Point""}";48.854606471061174, 2.3355044198862585;Non
MU16;;Musée des Arts Décoratifs;Musée;Oui;107 Rue de Rivoli;75001;;;;;;;;;;"{""coordinates"": [2.3335048053289467, 48.863052699505246], ""type"": ""Point""}";48.863052699505246, 2.3335048053289467;Non
MU25;;Musée National Guimet (annexe);Musée;Oui;6 PLACE D'IENA;75016;;;;10:00 - 18:00;Fermé;10:00 - 18:00;10:00 - 18:00;10:00 - 18:00;10:00 - 18:00;"{""coordinates"": [2.2942904300665803, 48.866394719991206], ""type"": ""Point""}";48.866394719991206, 2.2942904300665803;Non
LC13;15879;Eglise Notre-Dame des Victoires;Lieux de culte;Non;1  RUE NOTRE-DAME DES VICTOIRES;75002;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.340950791550009, 48.866766995352286], ""type"": ""Point""}";48.866766995352286, 2.340950791550009;Non
LC104;19472;Eglise Saint-Leu Saint-Gilles;Lieux de culte;Non;57b BD SEBASTOPOL;75001;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3500839881184943, 48.8628844523653], ""type"": ""Point""}";48.8628844523653, 2.3500839881184943;Non
LC118;19501;Eglise Saint-Laurent;Lieux de culte;Non;119b RUE FAUBOURG SAINT MARTIN;75010;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.358293066072889, 48.874800339696726], ""type"": ""Point""}";48.874800339696726, 2.358293066072889;Non
OMP88;;PERGOLA JARDIN JANE VIALLE;Ombrière pérenne;Non;122 RUE DES POISSONNIERS;75018;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3536935901249865, 48.89501812075335], ""type"": ""Point""}";48.89501812075335, 2.3536935901249865;Non
OMP100;;KIOSQUE A MUSIQUE SQUARE EDOUARD VAILLANT;Ombrière pérenne;Non;50 AVENUE GAMBETTA;75020;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.400299222449819, 48.86541709437424], ""type"": ""Point""}";48.86541709437424, 2.400299222449819;Non
BR71;;Brumisateur Parc Floral Aire de jeux;Brumisateur;Non;Parc Floral;75012;;Horaires d'ouverture du parc;;;;;;;;"{""coordinates"": [2.447387830780047, 48.83749645787096], ""type"": ""Point""}";48.83749645787096, 2.447387830780047;Non
BD3;18310;Bain-douche Blomet;Bains-douches;Non;17, rue Blomet;75015;;du 01/01/20 au 01/01/32;07h30 - 13h00;-;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;08h00 - 12h30;"{""coordinates"": [2.307503743399791, 48.84330516195563], ""type"": ""Point""}";48.84330516195563, 2.307503743399791;Non
BD8;18323;Bain-douche Lacépède;Bains-douches;Non;50, rue Lacepède;75005;;du 01/01/20 au 01/01/32;-;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;07h30 - 13h00;08h00 - 12h30;"{""coordinates"": [2.3499983220113037, 48.84437854663201], ""type"": ""Point""}";48.84437854663201, 2.3499983220113037;Non
PI21;2944;Piscine des Amiraux;Piscine;Oui;6, rue Hermann Lachapelle;75018;;du 09/09/24 au 20/10/24;07h00 - 08h30 / 11h30 - 13h30 / 16h30 - 22h30;07h00 - 08h30 / 11h30 - 13h30;07h00 - 08h30 / 11h30 - 19h00;07h00 - 08h30 / 11h30 - 13h30;11h30 - 13h30;07h00 - 18h00;08h00 - 18h00;"{""coordinates"": [2.351003515185558, 48.8943594279617], ""type"": ""Point""}";48.8943594279617, 2.351003515185558;Non
OMP18;;PERGOLA JARDIN EMILE GALLE;Ombrière pérenne;Non;32 RUE NEUVE DES BOULETS;75011;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.390803806825133, 48.85395231673609], ""type"": ""Point""}";48.85395231673609, 2.390803806825133;Non
OMP20;;PERGOLA JARDIN DAMIA;Ombrière pérenne;Non;24 RUE ROBERT ET SONIA DELAUNAY;75011;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.394606018236854, 48.85490080647723], ""type"": ""Point""}";48.85490080647723, 2.394606018236854;Non
OMP24;;KIOSQUE A MUSIQUE SQUARE COURTELINE;Ombrière pérenne;Non;60W BOULEVARD DE PICPUS;75012;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.402014214099584, 48.84431891479467], ""type"": ""Point""}";48.84431891479467, 2.402014214099584;Non
PI15;19543;Piscine Yvonne Godard;Piscine;Oui;7 rue Serpollet;75020;;du 09/09/24 au 15/09/24;07h00 - 08h30 / 11h30 - 22h00;07h00 - 13h00 / 16h30 - 22h00;08h30 - 22h00;07h00 - 22h00;07h00 - 13h00;08h30 - 19h00;08h30 - 19h00;"{""coordinates"": [2.4106066820379013, 48.86078630206392], ""type"": ""Point""}";48.86078630206392, 2.4106066820379013;Non
BE5;;Centre sportif Georges Carpentier;Baignade extérieure;Non;81 boulevard Masséna;75013;;Du 08 juillet au 20 août 2023;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 18h;"{""coordinates"": [2.3679947701480013, 48.819598079045164], ""type"": ""Point""}";48.819598079045164, 2.3679947701480013;Non
LC79;19433;Temple de l'Oratoire;Lieux de culte;Non;1  RUE ORATOIRE;75001;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.339982808053069, 48.861652514451904], ""type"": ""Point""}";48.861652514451904, 2.339982808053069;Non
OMP38;;PERGOLA JARDIN DE LA MONTGOLFIERE;Ombrière pérenne;Non;38 RUE DU MOULINET;75013;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3539379208999245, 48.82699361555402], ""type"": ""Point""}";48.82699361555402, 2.3539379208999245;Non
MU6;;Musée Marmottan;Musée;Oui;2 rue Louis Boilly;75016;;;;;;;;;;"{""coordinates"": [2.267273579714199, 48.859404195693486], ""type"": ""Point""}";48.859404195693486, 2.267273579714199;Non
TB4;;Terrain de boules Avenue Junot;Terrain de boules;Non;17 AVENUE JUNOT;75018;;;;;;;;;;"{""coordinates"": [2.3354578410453786, 48.88810596845644], ""type"": ""Point""}";48.88810596845644, 2.3354578410453786;Non
TB5;;Jeu de boules de Vincennes;Terrain de boules;;16 w Route du Donjon;75012;;;;;;;;;;"{""coordinates"": [2.448562916695805, 48.84448078011375], ""type"": ""Point""}";48.84448078011375, 2.448562916695805;Non
LC140;19483;Eglise Saint-Jacques du Haut Pas;Lieux de culte;Non;252 Rue Saint-Jacques;75005;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.341074283569222, 48.84368436928793], ""type"": ""Point""}";48.84368436928793, 2.341074283569222;Non
BR54;;Brumisateur Square Roger Coquoin;Brumisateur;Non;14 avenue  Ferdinand Buisson;75016;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.255054725985122, 48.83603530638658], ""type"": ""Point""}";48.83603530638658, 2.255054725985122;Non
TB11;;Terrain de boules Botzaris;Terrain de boules;Non;72 rue Botzaris;75019;;;;;;;;;;"{""coordinates"": [2.3877403212424415, 48.87960867786999], ""type"": ""Point""}";48.87960867786999, 2.3877403212424415;Non
BR24;<Nul>;Brumisateur Square Sarah Bernhardt;Brumisateur;Non;13 rue Mounet Sully;75020;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.404179923710332, 48.84931971650923], ""type"": ""Point""}";48.84931971650923, 2.404179923710332;Non
LC142;19434;Eglise Saint-Denys du Saint Sacrement;Lieux de culte;Non;68t RUE DE TURENNE;75003;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.364925077050789, 48.859959669943756], ""type"": ""Point""}";48.859959669943756, 2.364925077050789;Non
OMP49;;KIOSQUE A MUSIQUE SQUARE YVETTE CHAUVIRE;Ombrière pérenne;Non;25 PLACE DU COMMERCE;75015;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.292944605645378, 48.84502568036814], ""type"": ""Point""}";48.84502568036814, 2.292944605645378;Non
BR16;<Nul>;Brumisateur 122 rue des Poissonniers;Brumisateur;Non;122 rue des Poissonniers;75018;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.3537317343026216, 48.89496293570875], ""type"": ""Point""}";48.89496293570875, 2.3537317343026216;Non
DI02;;Fabrique de la Solidarité  / Service Social de Proximité;Découverte et Initiation;Non;8 RUE DE LA BANQUE;75002;;;Fermé;9H30 - 17H;9H30 - 17H;9H30 - 17H;9H30 - 17H;Fermé;Fermé;"{""coordinates"": [2.3404918920670306, 48.86683217016895], ""type"": ""Point""}";48.86683217016895, 2.3404918920670306;Non
PI8;2934;Piscine Blomet;Piscine;Oui;17, rue Blomet;75015;;du 02/09/24 au 30/09/24;-;-;-;-;-;-;-;"{""coordinates"": [2.307503743399791, 48.84330516195563], ""type"": ""Point""}";48.84330516195563, 2.307503743399791;Non
BR10;<Nul>;Brumisateur Square du Cardinal Wyszinski;Brumisateur;Non;72 rue Vercingétorix;75014;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.3162505368953195, 48.83629171909714], ""type"": ""Point""}";48.83629171909714, 2.3162505368953195;Non
OMP66;;KIOSQUE A MUSIQUE JARDIN JAN DOORNIK;Ombrière pérenne;Non;27 BOULEVARD FLANDRIN;75016;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.273218871140479, 48.86769933240262], ""type"": ""Point""}";48.86769933240262, 2.273218871140479;Non
OMP74;;KIOSQUE A MUSIQUE PROMENADE PEREIRE - PROMENADE THERESE PIERRE;Ombrière pérenne;Non;87B AVENUE DES TERNES;75017;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.292722528964092, 48.882526928144166], ""type"": ""Point""}";48.882526928144166, 2.292722528964092;Non
OMP108;;PERGOLA SQUARE DES GRES;Ombrière pérenne;Non;57B RUE VITRUVE;75020;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.406142163376616, 48.8595583793733], ""type"": ""Point""}";48.8595583793733, 2.406142163376616;Non
OMP102;;ABRI SQUARE SARAH BERNHARDT;Ombrière pérenne;Non;2 RUE DE BUZENVAL;75020;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.404669569584703, 48.849200732332456], ""type"": ""Point""}";48.849200732332456, 2.404669569584703;Non
PI28;2939;Piscine Henry de Montherlant;Piscine;Oui;30, boulevard Lannes;75016;;du 09/09/24 au 15/09/24;-;07h00 - 13h30;07h00 - 08h30 / 11h30 - 18h00;07h00 - 16h15;07h00 - 13h30;07h00 - 18h00;08h00 - 18h00;"{""coordinates"": [2.271528353609004, 48.86729079491211], ""type"": ""Point""}";48.86729079491211, 2.271528353609004;Non
MU72;62;Maison de Victor Hugo;Musée;;6 place des Vosges;75004;;du 01/01/20 au 01/01/32;-;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;"{""coordinates"": [2.366090514402577, 48.85483127725531], ""type"": ""Point""}";48.85483127725531, 2.366090514402577;Non
PI24;19201;Piscine Emile Anthoine;Piscine;Oui;9, rue Jean Rey;75015;;du 06/09/24 au 15/09/24;-;-;-;-;-;-;-;"{""coordinates"": [2.290701300755016, 48.855695130898035], ""type"": ""Point""}";48.855695130898035, 2.290701300755016;Non
OMP10;;KIOSQUE A MUSIQUE JARDINS DES CHAMPS ELYSEES;Ombrière pérenne;Non;5X AVENUE DES CHAMPS ELYSEES;75008;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3188500782493158, 48.86669541689943], ""type"": ""Point""}";48.86669541689943, 2.3188500782493158;Non
PI14;2;Piscine Saint-Merri / Marie-Marvingt;Piscine;Oui;16 rue du renard;75004;;du 09/09/24 au 15/09/24;07h00 - 16h30;07h00 - 08h30 / 11h30 - 13h30;07h00 - 11h30 / 13h30 - 18h00;07h00 - 22h30;11h30 - 13h30;07h00 - 18h00;08h00 - 18h00;"{""coordinates"": [2.3528281778806135, 48.859059653492366], ""type"": ""Point""}";48.859059653492366, 2.3528281778806135;Non
PI33;2950;Piscine Roger Le Gall;Piscine;Oui;34, boulevard Carnot;75012;;du 09/09/24 au 22/09/24;07h00 - 08h00 / 12h00 - 14h00 / 17h00 - 20h00;12h00 - 14h00 / 17h00 - 20h00;08h00 - 21h00;07h00 - 08h00 / 12h00 - 14h00 / 17h00 - 20h00;12h00 - 14h00 / 17h00 - 21h00;10h00 - 23h00;08h00 - 19h00;"{""coordinates"": [2.4125764069352504, 48.84165418534257], ""type"": ""Point""}";48.84165418534257, 2.4125764069352504;Non
BE2;;Baignade Bassin de la Villette;Baignade extérieure;Non;Quai de la Loire;75019;;Du 08 juillet au 03 septembre 2023;11h - 20h;11h - 20h;11h - 20h;11h - 20h;11h - 20h;11h - 20h;11h - 20h;"{""coordinates"": [2.374847996351318, 48.88576426186338], ""type"": ""Point""}";48.88576426186338, 2.374847996351318;Non
MU44;;Conciergerie;Musée;Oui;2 boulevard du Palais;75001;;;;;;;;;;"{""coordinates"": [2.345767732523691, 48.8561703668902], ""type"": ""Point""}";48.8561703668902, 2.345767732523691;Non
LC82;;Eglise Saint-Antoine de Padoue;Lieux de culte;Non;52  BD LEFEBVRE;75015;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.2943388208438997, 48.829750962158926], ""type"": ""Point""}";48.829750962158926, 2.2943388208438997;Non
MU70;;Musée de Cluny;Musée;Oui;6 place Paul Painlevé;75005;;;;;;;;;;"{""coordinates"": [2.343768455853266, 48.85054643944546], ""type"": ""Point""}";48.85054643944546, 2.343768455853266;Non
;;Ombrière du parvis de la bibliothèque Saint-Eloi;Ombrière temporaire;Non;23 Rue du Colonel Rozanoff;75012;;;;;;;;;;"{""coordinates"": [2.3870688324112144, 48.84561041666421], ""type"": ""Point""}";48.84561041666421, 2.3870688324112144;Non
LC129;19473;Eglise Saint-Charles de Monceau;Lieux de culte;Non;22b RUE LEGENDRE;75017;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.312792784049419, 48.882702734871195], ""type"": ""Point""}";48.882702734871195, 2.312792784049419;Non
LC52;19488;Eglise Saint-Lambert;Lieux de culte;Non;14b RUE BAUSSET;75015;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.2983118557775017, 48.83960327314269], ""type"": ""Point""}";48.83960327314269, 2.2983118557775017;Non
OMP40;;AUTRE JARDIN JAMES JOYCE;Ombrière pérenne;Non;7 RUE GEORGE BALANCHINE;75013;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3736761252277008, 48.836028375382654], ""type"": ""Point""}";48.836028375382654, 2.3736761252277008;Non
;2658;Ombrière du Square Jehan Rictus;Ombrière temporaire;Non;14 Pl. des Abbesses,;75018;;;;;;;;;;"{""coordinates"": [2.3387005340193174, 48.884830212277194], ""type"": ""Point""}";48.884830212277194, 2.3387005340193174;Non
MU18;;Musée de l'Orangerie;Musée;Oui;Jardin Tuileries;75001;;;;;;;;;;"{""coordinates"": [2.322595889416567, 48.86379216086339], ""type"": ""Point""}";48.86379216086339, 2.322595889416567;Non
MA1;3276;Maison de la Vie Associative et Citoyenne du 9e;Mairie d'arrondissement;Non;54 rue Jean-Baptiste Pigalle;75009;;;;;;;;;;"{""coordinates"": [2.3359655972749604, 48.880984929334396], ""type"": ""Point""}";48.880984929334396, 2.3359655972749604;Non
OMP43;;PERGOLA JARDIN DES GRANDS MOULINS - ABBE PIERRE - JARDIN DES ECOLES;Ombrière pérenne;Non;22 RUE THOMAS MANN;75013;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.379698145862502, 48.83004042215471], ""type"": ""Point""}";48.83004042215471, 2.379698145862502;Non
LC141;19453;Eglise Saint-Jean Baptiste de Belleville;Lieux de culte;Non;4  RUE LASSUS;75019;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3893121341079047, 48.875690317392404], ""type"": ""Point""}";48.875690317392404, 2.3893121341079047;Non
MU7;;Archives Nationales;Musée;Oui;60 rue des Francs Bourgeois;75003;;;;;;;;;;"{""coordinates"": [2.3586645038881957, 48.86009504643687], ""type"": ""Point""}";48.86009504643687, 2.3586645038881957;Non
LC105;19467;Eglise Saint-Nicolas des Champs;Lieux de culte;Non;252b RUE SAINT-MARTIN;75003;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3542793713466366, 48.86547767406714], ""type"": ""Point""}";48.86547767406714, 2.3542793713466366;Non
BR19;<Nul>;Brumisateur Square Petit;Brumisateur;Non;27 RUE PETIT;75019;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.382076959740823, 48.88505936181931], ""type"": ""Point""}";48.88505936181931, 2.382076959740823;Non
BR72;;Brumisateur Parc Floral Entrée;Brumisateur;Non;Parc Floral;75012;;Horaires d'ouverture du parc;;;;;;;;"{""coordinates"": [2.44003034531862, 48.83932412297934], ""type"": ""Point""}";48.83932412297934, 2.44003034531862;Non
PI10;2929;Piscine Dunois;Piscine;Oui;70, rue Dunois;75013;;du 09/09/24 au 15/09/24;07h00 - 08h15 / 13h30 - 20h00;07h00 - 13h15;11h30 - 17h00;07h00 - 08h15 / 11h30 - 13h15;07h00 - 13h15;07h00 - 18h00;08h00 - 18h00;"{""coordinates"": [2.366278588969739, 48.83317032616429], ""type"": ""Point""}";48.83317032616429, 2.366278588969739;Non
OMP03;;PERGOLA JARDIN ANNE FRANK (HOTEL SAINT-AIGNAN);Ombrière pérenne;Non;14 IMPASSE BERTHAUD;75003;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3549831301202744, 48.861659597864964], ""type"": ""Point""}";48.861659597864964, 2.3549831301202744;Non
OMP08;;ABRI JARDIN CATHERINE LABOURE;Ombrière pérenne;Non;29 RUE DE BABYLONE;75007;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3209574216538997, 48.8509539518205], ""type"": ""Point""}";48.8509539518205, 2.3209574216538997;Non
OMP09;;PERGOLA JARDIN CATHERINE LABOURE;Ombrière pérenne;Non;29 RUE DE BABYLONE;75007;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.320522191933541, 48.851148984618895], ""type"": ""Point""}";48.851148984618895, 2.320522191933541;Non
BI16;6218;Médiathèque Marguerite Yourcenar;Bibliothèque;Non;41 RUE D'ALLERAY;75015;;à partir du 01/09/24;-;13h00 - 19h00;10h00 - 19h00;13h00 - 19h00;10h00 - 19h00;10h00 - 18h00;13h00 - 18h00;"{""coordinates"": [2.3035962475144713, 48.836902118991496], ""type"": ""Point""}";48.836902118991496, 2.3035962475144713;Non
PI23;2945;Piscine Edouard Pailleron;Piscine;Oui;32, rue Edouard Pailleron;75019;;du 02/09/24 au 20/10/24;07h00 - 08h03;07h00 - 08h30;07h00 - 22h30;07h00 - 08h30;07h00 - 08h30 / 11h30 - 22h30;08h00 - 20h00;08h00 - 20h00;"{""coordinates"": [2.377708927065684, 48.880518419404154], ""type"": ""Point""}";48.880518419404154, 2.377708927065684;Non
PI11;19569;Piscine Elisabeth;Piscine;Oui;1, place Edith Thomas;75014;;du 09/09/24 au 15/09/24;-;-;-;-;-;-;-;"{""coordinates"": [2.3259008746837084, 48.821598053029554], ""type"": ""Point""}";48.821598053029554, 2.3259008746837084;Non
MU37;;Musée de Montmartre;Musée;Oui;12-14 Rue Cortot;75018;;;;;;;;;;"{""coordinates"": [2.340655906989514, 48.88803258720016], ""type"": ""Point""}";48.88803258720016, 2.340655906989514;Non
